Track_Title,Key_Signature
"Symphony No. 7 in C Major, Hob. I:7 ""Le midi"" ",C Major
"String Symphony No. 4 in C Minor, MWV N4 ",C Minor
"Pièces de clavecin, Book 4, 25th ordre in E-Flat Major ",E-Flat Major
Cello Sonata No. 8 in E flat Major: II. Largo ,E flat Major
Pièces in G Minor: IX. Gigue ,G Minor
"A Choice Collection of Lessons, Suite No. 5 in C Major, Z. 666, I. Prélude ",C Major
"String Quartet No. 2 in F Major, Op. 41 No. 2: II. Andante, quasi variazioni ",F Major
"Piano Sonata No. 9 in B Major, Op. 147, D. 575: II. Andante ",B Major
"32 Variations on an Original Theme in C Minor, WoO 80 ",C Minor
"Cello Sonata in E Major, Op. 132: I. Allegro moderato ",E Major
"Piano Pieces, Series 1: No. 9, Dance in A♭ major ",A♭ major
"String Quartet in E-Flat Major, Op. 14, FS 23: IV. Allegro coraggioso ",E-Flat Major
"10 Improvisations, FP 63: No. 3 in B Minor ",B Minor
"Duo in E-Flat Major, Op. 3 ",E-Flat Major
"Mass No. 6 in E flat Major, D. 950: III. Credo ",E flat Major
"Cello Sonata No. 4 in A Minor, Op. 116: III. Largo ",A Minor
"Keyboard Sonata in E Major, Hob. XVI:13 ",E Major
"Neuer Clavier-Übung, Vol. 2, Partie No. 7 in B Minor: III. Courrante ",B Minor
"Symphony No. 3 in D Minor, WAB 103 ""Wagner Symphony"": IV. Finale. Allegro ",D Minor
"Prelude & Fugue in D minor, BWV 899 ",D minor
"Pièces de clavecin, Book 2, 7th Ordre in G Major-Minor: IIa. La Muse Naissante ",G Major
"Mystery Sonata No. 3 in B Minor ""Nativity"": II. Courante ",B Minor
"Serenade for String Orchestra in C Major, Op. 48, TH 48 ",C Major
"Symphony in D Minor, W. I/3 ",D Minor
"Flute Quartet in D major, Op. 8: IV. Finale. Allegro ",D major
"Violin Sonata No. 22 in A Major, Op. 1 No. 5, K. 305: II. Tema con variazioni. Andante grazioso ",A Major
"Piano Suite No. 1 in G Minor, Op. 3 ""Dans le style ancien"" ",G Minor
"Symphony No. 7 in A Major, Op. 92: III. Scherzo. Presto ",A Major
"Mystery Sonata No. 13 in D minor ""Descent of the Holy Ghost"": I. Sonata ",D minor
Violin Sonata in E Minor: I. Andante ,E Minor
"Suite in E flat Major, 819a: V. Bourrée ",E flat Major
"Piano Sonata No. 2 in F Major, K. 280 ",F Major
Suite in C major: II. Courante ,C major
"Concerto grosso in G Minor, Op. 6 No. 8 ""Christmas Concerto"": III. Adagio ",G Minor
"Violin Sonata in G Minor, Op. 137 No. 3, D. 408 ",G Minor
"Cello Concerto No. 1 in A Minor, Op. 33, R. 193: Molto allegro ",A Minor
"Violin Sonata in B Minor, Wq. 76: II. Poco andante ",B Minor
"Organ Concerto No. 3 in G Minor, Op. 4 No. 3, HWV 291: III. Adagio ",G Minor
"Piano Sonata No. 9 in C major, Op. 103: III. Andante tranquillo - Allegro sostenuto ",C major
"Mystery Sonata No. 5 in A major ""Finding in the Temple"" ",A major
"Concerto à 7 in F Major, TWV 44:41: II. Vivavce ",F Major
Buxheimer Orgelbuch: Redeuntes in A Minor ,A Minor
"Tanzstudien, Op. 3: Tanzstudie in G Major ",G Major
24 Préludes & Fugues: Prelude No. 16 in B minor ,B minor
"7 Organ Sonatas: No. 6, Brillante in C Major ",C Major
"Keyboard Partita No. 1 in B-Flat Major, BWV 825: V. Minuet I ",B-Flat Major
"Piano Sonata No. 18 in E-Flat Major, Op. 31 No. 3 ""The Hunt"": No. 3, Menuetto. Moderato e grazioso ",E-Flat Major
"Pastorale in E Major, Op. 19, M. 31: II. Quasi allegretto ",E Major
Trumpet Sonata in B-Flat Major: III. Trauermusik. Sehr langsam ,B-Flat Major
"Violin Concertino No. 1 in E Major, Op. 15: I. Allegro maestoso ",E Major
"Violin Concerto No. 3 in D minor, Op. 58 ",D minor
"Flute Sonata in C Major, Op. 2 No. 1: II. Largo ",C Major
"Parnasso in festa, HWV 73, Pt. 1: Vada in oblio memoria ", 
"Concert Piece in F# Minor, Op. 84: I. Allegro appassionato ",F# Minor
"Violin Concertino No. 1 in E Major, Op. 15 ",E Major
Harpsichord Sonata in G Major: I. Presto ,G Major
"String Quartet No. 2 in E Minor, Op. 33 ",E Minor
"3 Klavierstücke, D. 946: No. 1 in E-Flat Minor ",E-Flat Minor
"24 Caprices for Solo Violin, Op. 1, MS 25: No. 22 in F Major. Marcato - Minore - Marcato ",F Major
Cello Concerto No. 2 in A major: II. Romanze ,A major
"Keyboard Sonata in G Minor, Wq. 62 No. 23 ",G Minor
Violin Concerto No. 8 in G Major: II. Adagio ,G Major
"Concerto grosso in D Minor, Op. 3 No. 11, RV 565: II. Fugue ",D Minor
Violin Sonata No. 3 in D Minor: III. Largo ,D Minor
"Keyboard Sonata in C Minor, Wq. 65/31 ",C Minor
"Piano Sonata No. 3 in B minor, Op. 58: II. Scherzo. Molto vivace ",B minor
"String Quartet No. 5 in A Major, Op. 18 No. 5: II. Menuetto ",A Major
"Violin Sonata No. 4 in D major, Op. 5, G. 28 ",D major
"Keyboard Sonata in F Major, Kk. 6 ",F Major
"String Quintet No. 16 in E Minor, Op. 39: I. Introduzione. Largo ",E Minor
"2 Piano Sonatinas, No. 1 in G Major, Anh. 5: II. Romance ",G Major
"Pièces de clavecin, Book 2, 8th Ordre in B Minor: No. 7, Rondeau ",B Minor
"12 Caprices, Op. 7: No. 4 in A Minor ",A Minor
"String Quartet No. 10 in E♭ major, Op. 125 No. 1, D. 87 ",E♭ major
"Nouvelles suites de pièces de clavecin, Suite in G Major-minor, RTC 6 ",G Major
"String Quartet in G Major, Op. 42 No. 3: IV. Vivace ",G Major
"Sonata in B-flat major, No. 2: V. Vivace ",B-flat major
Trio Sonata No. 7 in C Minor: III. Allegro assai ,C Minor
"String Quartet in C Major, Op. 64 No. 1, Hob. III:65 ",C Major
"Keyboard Concerto in A Major: I. Allegro, ma non tanto ",A Major
"String Symphony No. 3 in E Minor, MWV N3: II. Andante ",E Minor
Nonet in F Major: III. Adagio ,F Major
"Concerto per flauto in c minor, RV 441: I. Allegro non molto ",c minor
"Violin Sonata No. 5 in F Major, Op. 24 ""Spring"" ",F Major
"String Quartet in D Minor, Op. 42 No. 2: IV. Allegro con brio ",D Minor
"Symphony No. 4 in A Major, Op. 90, MWV N16 ""Italienische"": IV. Saltarello. Presto ",A Major
"3 Préludes & Fugues, Op. 37 No. 2: No. 1a, Prelude in c minor, MWV W21 ",c minor
"Piano Sonata in D minor, Op. 51 No. 3, P. XII:40 ",D minor
"Violin Sonata in D Minor, Op. 5 No. 7: II. Corrente. Allegro ",D Minor
"8 Humoresques, Op. 101, B. 187: No. 4 in F Major. Poco andante ",F Major
"Harmonia artificiosa-ariosa, Partia No. 1 in D Minor, C. 62: I. Adagio - Presto - Adagio ",D Minor
"Piano Concerto No. 2 in A Major, S. 125: VI. Allegro animato ",A Major
"Concerto for 2 Flutes & Violin in E minor, TWV 53:e1: III. Largo ",E minor
"Symphony No. 8 in G major, Op. 88, B. 163: III. Allegretto grazioso ",G major
"Symphony No. 26 in E-Flat Major, K. 184 ",E-Flat Major
"Prelude & Fugue for Organ in A Minor, BWV 543: Fuga ",A Minor
"Magnificat in D Major, BWV 243: No. 3, Quia respexit ",D Major
"Horn Concerto in D Minor, C. 38/III:43: III. Rondo ",D Minor
"Sonata for Solo Violin in D Major, Op. 115: I. Moderato ",D Major
Septet in E-Flat Major: V. Finale. Allegro moderato ,E-Flat Major
"Viola Sonata in D Minor, Op. 26: III. Sostenuto - Allegro spirituoso ",D Minor
Ouverture No. 6 in G Minor: V. La plainte ,G Minor
Keyboard Sonata No. 69 in B♭ major ,B♭ major
"Pièces de clavecin, Book 2, 9th Ordre in A Major-Minor ",A Major
"Mass No. 2 in G Major, D. 167: VI. Agnus Dei ",G Major
"Flute Sonata in E major, Wq. 84, H. 506: III. Allegro assai ",E major
"24 Études, Op. 125: No. 15 in D-Flat Major ",D-Flat Major
"Préludes, Op. 28: No. 8 in F-Sharp Minor ",F-Sharp Minor
"Requiem in D Minor, K. 626: XI. Offertory No. 2, Hostias ",D Minor
"Piano Trio No. 2 in E flat Major, Op. 100, D. 929: II. Andante con moto ",E flat Major
"Sonata for Piano 4 Hands in B-Flat Major, Op. 38: II. Andante con espressione ",B-Flat Major
"Keyboard Concerto in C minor, Wq. 43 No. 4: III. Tempo di minuetto ",C minor
"Keyboard Sonata in B minor, Kk. 27 ",B minor
"Violin Sonata No. 3 in D minor, Op. 108: II. Adagio ",D minor
"Symphony No. 3 in G major, Hob. I:3: II. Andante Moderato ",G major
"Flute Sonata in B Minor, BWV 1030: III. Presto ",B Minor
"6 National Airs with Variations, Op. 105: No. 1, Air écossais in G Major ",G Major
"Variations on Bach's Weinen, Klagen, Sorgen, Zagen & Crucifixus from Mass in B minor, S. 673 ",B minor
"6 Select Sonatas, No. 4 in C major: I. Allegro ",C major
"Lieder ohne Worte, Book 8, Op. 102: No. 5 in A Major, MWV U 194 ""Kinderstück"" ",A Major
"Keyboard Sonata in F major, Op. 13 No. 3, Hob. XVI:23: I. — ",F major
"2 Duetti, Op. 137 No. 2 in G Major: Rondo allegretto ",G Major
"Symphony No. 1 in D Minor, Op. 13 ",D Minor
"Piano Trio in E-Flat Major, Op. 2: III. Très lent - Vif et gaiement ",E-Flat Major
"Violin Sonata No. 8 in G Major, Op. 30 No. 3: III. Allegro vivace ",G Major
"Keyboard Sonata in c minor, Wq. 65 No. 49: III. Allegro ",c minor
Cello Concerto in G Major ,G Major
"Piano Trio in B Minor, Op. 16: IV. Finale ",B Minor
"Mystery Sonata No. 12 in C Major ""Ascension"": III. Allemande ",C Major
"Symphony No. 40 in G Minor, KV 550: IV. Finale. Allegro assai ",G Minor
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ",D Major
"Keyboard Concerto in G Major, Wq. 3, H. 405: I. Allegro di molto ",G Major
"Aria variata in A Minor, BWV 989: Var. 7 ",A Minor
"Keyboard Suite in G Minor, BWV 822 ",G Minor
Keyboard Sonata No. 56 in C Major ,C Major
Cello Sonata No. 4 in D Minor: II. Allegro ,D Minor
"Piano Trio in A Minor, Op. 50, TH 117: Moderato ",A Minor
Harpsichord Suite No. 3 in A Minor: VII. Chaconne ,A Minor
"Fantasie in C major, Op. 15, D. 760 ""Wanderer"": II. Adagio ",C major
"Piano Trio in E♭ major, Op. 16: I. Allegro ",E♭ major
Prelude No. 5 in D major ,D major
"Viola Sonata in B-Flat Major, Op. 107: III. Adagio ",B-Flat Major
Trumpet Concerto in B♭ major: II. Allegro ,B♭ major
Concerto in A Major ,A Major
Harpsichord Suite No. 5 in C Minor: I. La Rameau ,C Minor
"Mandolin Concerto in G Major, S28: II. Andante con variazioni ",G Major
"Concerto for 2 Pianos in B-Flat Major, Op. 45 ",B-Flat Major
Piano Sonata in F-Sharp Minor: II. Adagio sostenuto ,F-Sharp Minor
"Symphony No. 3 in C Minor, Op. 78, R. 176 ""Organ"": IIa. Allegro moderato ",C Minor
"Morning, Evening & Communion Service in A♭ major, Op. 6: No. 1, Te Deum ",A♭ major
"Clarinet Concertino in C Minor / E-Flat Major, Op. 26, J. 109 ",C Minor
"Prelude & Fughetta in D Minor, BWV 899: Prelude ",D Minor
"String Quartet No. 2 in E flat Major, Op. 26: II. Intermezzo. Allegretto con moto ",E flat Major
"Keyboard Sonata in B-Flat Major, Wq. 59/3, H. 282: II. Largo ",B-Flat Major
"Symphony No. 19 in E-Flat Major, K. 132: III. Menuetto ",E-Flat Major
"Recorder Concerto in F Major, RV 442: I. Allegro, ma non molto ",F Major
"String Quartet No. 23 in F major, K. 590 ""Prussian No. 3"" ",F major
"Sinfonia in C Major, Wq. 174, H. 649: I. Allegro assai ",C Major
"Oboe Concerto in C Minor, TWV 51:c1: IV. Allegro ",C Minor
"Piano Concerto No. 12 in A Major, K. 414: III. Allegretto ",A Major
Trio Sonata No. 3 in A Major: III. Andante ,A Major
"Polonaise No. 16 in G-Flat Major, B. 36 ",G-Flat Major
Doni Lute Book: Passagaglia in c minor ,c minor
Prelude & Fugue in A Major: Prelude ,A Major
"24 Préludes in All the Keys, Op. 179: No. 6 in D minor ",D minor
"Mass No. 1 in F Major, D. 105: V. Benedictus ",F Major
"Symphony No. 1 in D minor, Op. 13: I. Allegro, ma non troppo ",D minor
"5 Minuets & 6 Trios, D. 89: I. Minuet in C Major ",C Major
"8 Nocturnes, FP 56: No. 5 in D minor ""Phalènes"" ",D minor
"Keyboard Concerto in C major, BWV 976: I. ",C major
"Air russe varie in D Minor, Op. 32 No. 2 ",D Minor
"Piano Concerto in G Major, Op. 36: II. Adagio ",G Major
"Recorder Sonata in G Minor, Op. 1 No. 2, HWV 360: III. Adagio ",G Minor
"5 Divertimenti in B-Flat Major, K. 439b No. 2: V. Rondo. Allegro ",B-Flat Major
"Violin Sonata No. 1 in G Major, Op. 78 ""Regen"": III. Allegro molto moderato ",G Major
"Symphony No. 7 in D Minor, Op. 70, B. 141 ",D Minor
"Keyboard Sonata in E-Flat Major, Hob. XVI:deest: II. Andante ",E-Flat Major
String Quartet in D major: I. Allegro molto vivace e giocoso ,D major
"5 Variations in G Major for Piano 4 Hands, K. 501 ",G Major
"Études, Op. 25: No. 2 in F Minor ""Bees"" ",F Minor
Balletto in G Major ,G Major
"13 Préludes, Op. 32: No. 13 in D♭ major ",D♭ major
"String Quartet in F Major, Op. 2 No. 4, Hob. III:10: II. Menuet ",F Major
"Piano Concerto in A Minor, Op. 54: III. Allegro vivace ",A Minor
"Flute Sonata in E major, Wq. 84, H. 506: II. Adagio di molto ",E major
"Étude No. 3 in E major, Op. 10 No. 3 ",E major
"Violin Partita No. 1 in B Minor, BWV 1002: IV. Double. Presto ",B Minor
"12 Études, Op. 25: No. 1 in A-Flat Major ""Harp Study"" ",A-Flat Major
"Violin Sonata No. 2 in A minor, BWV 1003 ",A minor
"Concerto symphonique No. 3 in E flat Major, Op. 45 ",E flat Major
"20 Ayres: No. 1, Pavin in C Major ",C Major
"Suite for Violin & Piano in E-Flat Major, Op. 43: I. Allegro moderato ",E-Flat Major
"40 Easy Études, Op. 70: No. 33 in D Minor ",D Minor
"Piano Sonata in E-Flat Major, Op. 44 ""The Farewell"": I. Introduzione. Allegro moderato ",E-Flat Major
