Raw_Track_Title,Clean_TrackTitle
"Concerto for Violin and Strings in F minor, Op. 8, No. 4, R. 297 - ""L'Inverno"": I. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"The Four Seasons, Concerto for Violin, Strings and Continuo in G Minor, No. 2, Op. 8, Rv 315, “l’ Estate” (Summer): II. Adagio - Presto - Adagio ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
"The 4 Seasons: Violin Concerto In F Minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter): II. Largo (arr. for Flute and Harp) ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Violin Concerto in G minor, ‘Summer’, op.8 no.2, rv 315 - Allegro non molto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"The Four Seasons, Concerto No. 1 in E Major, Op. 8, RV 269 Spring: I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Violin Concerto No. 1 in E Major, RV 269: II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"The Four Seasons, Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"The Four Seasons, Concerto in F Major, RV 293 ""Autumn"": II. Adagio molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"The Four Seasons, Op. 8, Violin Concerto No. 4 in F Minor, RV 297 ""Winter"": I. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Concerto para Violín No.3 in F Major, Op. 8, RV 293 ""L’Autunno"": II. Adagio molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"Concerto para Violín No.2 in G Minor, Op. 8, RV 315 - ""L'Estate"" ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Concerto para Violín No.1 in E Major, Op. 8, RV 269 ""La Primavera"": I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto Nr.3 In F Major, Op. 8, No. 3, RV 293 - ""L'autnno"" (""Atumn""):  II. Adagio Molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"Concerto No.1 Spring, Largo ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": II. Largo e pianissimo sempre"
Concerto in F major Op. 8 No. 3 ‘L’Autunno ’: III. Allegro ,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": III. Allegro"
"The Four Seasons -Violin Concerto in G Minor, RV 315, ""Summer"": I. Allegro non molto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"The Four Seasons (Le Quattro Stagioni), Op. 8 - Concerto No. 4 for Violin and Strings in F Minor, ""Winter"", RV 297: III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"The Four Seasons, Concerto No. 3 in F Major, RV 293 ""Autumn"": II. Adagio molto (Umbriachi dormienti) ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"Concerto in F Major for Violín, String Orchestra, and Continuo, Op. 8, No. 3, RV 293, ""L' autunno"" (Otoño): III. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": III. Allegro"
"The Four Seasons, Concerto No. 2 in G Minor, RV 315 ""Summer"": II. Adagio - Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
"The Four Seasons, Concerto No. 3 in F, RV 293 'L'autunno': I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Concerto para Violín No.1 in E Major, Op. 8, RV 269 ""La Primavera"": II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"The Four Seasons - Violin Concerto in G Minor, Op. 8, No. 2, RV 269 - ""Summer"": I. Allegro non molto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"Four Seasons, Op.8, Winter: Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Concerto No. 2 in G minor, Op. 8, RV 315, ""Summer"" (L'estate): Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Le Quattro Stagioni. Four Concertos for Violin and String Orchestra (Four Seasons)), Op. 8: Concerto No. 4 in F minor L' Inverno. I. Allegro non molto, RV 297 ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Concerto for Violin and Strings in E Major, Op. 8, No. 1, R. 269 ""La Primavera: "" I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
﻿Violin Concerto Op.8 No.2 in g “L'Estate” (Summer) RV 315: I. Allegro non molto ,"The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"Four Seasons, Op.8, Autumn: Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
MOVEMENTS FROM THE FOUR SEASONS: 1ST MOVEMENT OF SPRING ,"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto No. 4 in F Minor, Op. 8, RV 297 ""The Four Seasons - Winter"": II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Concerto For Violin And Strings In F Minor, Op.8, No.4, RV 297 ""L'inverno"": 1. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"The Four Seasons, Op.8 (from 'Il cimento dell'armonia e dell'inventione'), Concerto No. 2 in G Minor, RV 315 (Op. 8 No. 2) 'L'estate': I. Allegro non molto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"Violin Concerto No. 1 in E Major, Op. 8, RV 269, ""Spring"": I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Concerto No. 2 in G Minor, Op. 8, RV 315, Summer: I. Allegro non moto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"The Four Seasons, Concerto No. 2 in G Minor, Op. 8, RV 315, Summer: III. Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Le quattro stagioni, Violin Concerto No. 3 in F Major, RV 293 ""L'autumno"": II. Adagio molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"Concerto Nr.3 In F Major, Op. 8, No. 3, RV 293 - ""L'autnno"" (""Atumn""): I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Concerto No. 3 In F Major, Op. 8, RV 293, ""L'autunno"" (Autumn): I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"The Four Seasons, Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"" ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto No. 1 in E Major, RV 269, ''La primavera'': I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
L´Estate op. 8 No. 2: III. Allegro ,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": III. Allegro"
"Le quattro stagioni (The Four Seasons), Op. 8 - Concerto No. 2 in G Minor, RV 315, ""L'estat"" (Summer): II. Largo ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
"The Four Seasons, Concerto No. 2 in G Minor, RV 315, Op. 8 No. 2 ""Summer"": I. Allegro non molto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"Concerto Nr.4 In F Minor Op. 8, No. 4, RV 297 - ""L'inverno"" (""Winter""): I. Allegro Non Molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"The Four Seasons: Concerto No. 3 in F Major, RV 293, FI-24: ""Autumn"": I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"L'Autunno Violin Concerto in F Major, RV 293: II. Adagio molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"Die vier Jahreszeiten, Op. 8, Concerto No. 1 in E Major, RV 269 ""Der Frühling"": III. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto for Violin and Strings in F Minor, Op. 8, No. 4, R. 297 ""L'inverno"" ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"The Four Seasons, Concerto No. 2 in G Minor (L'estate - Summer), RV 315 (Op. 8, No. 2): II. Adagio ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
Concerto in F major Op. 8 No. 3 ‘L’Autunno ’: I. Allegro ,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Concerto in G Major for Violín, String Orchestra and Continuo, Op. 8, No. 2, RV 315, ""L'estate"" (Verano): III. Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"The Four Seasons - Violin Concerto in F Minor, RV 297 ""Winter"", Adapted for Violoncello: Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Le quattro stagioni, Violin Concerto No. 3 in F Major, RV 293 ""L'autumno"": I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
﻿Violin Concerto Op.8 No.1 in E “La Primavera” (Spring) RV 269: II. Largo ,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Vier Jahreszeiten, Sommer: Tempo Impettuoso D'estate ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
L´Inverno op. 8 No. 4: III. Allegro ,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"Concerto No.4 In F Minor, Rv 297: No. I: Allegro Non Molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"The Four Seasons, Violin Concerto, Op. 8 No. 1–4: Summer, RV 315, Allegro non molto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"The Four Seasons, Concerto No. 1 in E (La primavera - Spring), RV 269 (Op. 8, No. 1): II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Concerto in E minor, RV 269 La Primavera - Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Concerto No. 2 in G Minor (L'estate - Summer), RV 315 (Op. 8, No. 2): I. Allegro ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
The Four Seasons - Concerto No. 4 in F Minor Op. 8 No. 4 RV297 'Winter': I. Allegro non molto ,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Violin Concerto No. 2 in G Minor, Op. 8, RV 315 ""Summer"": II. Adagio ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
"The Four Seasons, Violin Concerto, Op. 8 No. 1–4: Autumn, RV 293, Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The 4 Seasons, Violin Concerto in F Major, Op. 8, No. 3, RV 293, ""L'autunno"": I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Le quattro stagioni (The Four Seasons), Op. 8 - Concerto No. 2 in G Minor, RV 315, ""L'estate"" (Summer): III. Presto (Tempo impetuoso d'estate) ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Concerto in F major, RV 293 L'Autunno - Adagio ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
MOVEMENTS FROM THE FOUR SEASONS: 1ST MOVEMENT OF WINTER ,"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto For Violin And Strings In E Major, Op.8, No.1, RV 269 ""La Primavera"" ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
The Four Seasons - Concerto No. 3 in F Major Op. 8 No. 3 RV293 'Autumn': I. Allegro ,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Concerto For Violin And Strings In G Minor, Op.8, No.2, RV 315 ""L'estate"": 1. Allegro non molto - Allegro ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"The four Seasons, Winter, Op. 8/4: III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"Concerto para Violín No.4 in F Minor, Op. 8, RV 297 - ""L’Inverno"" ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
The Four Seasons: Spring Op.8 RV 269 ,"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto for Violin and Strings in F Minor, Op.8, No.4, R.297 ""L'inverno"": 1. Allegro Non Molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"The 4 Seasons: Violin Concerto in F Minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter): I. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Violin Concerto No. 4 in F Minor, Op. 8, RV 297 ""Winter"": I. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Violin Concerto in F Minor, RV 297, ""Winter"" from ""The Four Seasons"": III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"Concerto For Violin And Strings in F, Op. 8, No. 3, R.293 ""L'autunno"": 3. Allegro (La caccia) ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Concerto No. 2 in G Minor: L'Estate ('Summer'), Op. 8, No. 2 / RV 315: III Presto (Tempo impettuoso d’Estate) ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Concerto for Violin and Strings in F minor, Op. 8, No. 4, R. 297 - ""L'inverno"" ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Concerto for Violin and Strings in F, Op.8, No.3, R.293 ""L'autunno"": 3. Allegro (La Caccia) ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"" (Autumn): I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Concerto for Violin and Strings in G minor, Op. 8, No. 2, R. 315 - ""L'Estate"": I. Allegro non molto - Allegro ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"Le quattro stagioni (The Four Seasons), Op. 8 - Concerto No. 1 in E Major, RV 269, ""La primavera"" (Spring): I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Konzert Nr. 2 g-moll op. 8, RV 315: 1. Allegro Non Molto. Allegro ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"Concerto No.4 In F Minor, Rv 297: No. Iii: Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"The Four Seasons, Concerto No. 3 in F Major (L'autunno - Autumn), RV 293 (Op. 8, No. 3): III. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": III. Allegro"
"The Four Seasons, Spring, Op. 8 - 1: 1st Mvt: Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Violin Concerto in G minor, ‘Summer’, op.8 no.2, rv 315 - Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Violin Concerto in G minor, RV 315 'L'estate' (""Summer"") ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Concerto For Violin And Strings In F Major, Op.8, No.3, RV 293 ""L'autunno"": 1. Allegro (Ballo, e canto de' villanelli) ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Spring from ""the Four Seasons"" ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Violin Concerto No. 3 in F Major, RV 293: II. Adagio molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"The Four Seasons, Concerto No. 1 in E, RV 269 'La primavera/Spring' (Op.8 No. 1): I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Concerto for Violin, Strings and Continuo in F Minor, No. 4, Op. 8, Rv 297, “l’ Inverno” (Winter): III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"The 4 Seasons: Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"" (Summer) (arr. A. Prado): II. Adagio - Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
"The Four Seasons, Concerto No. 4 in F Minor, RV 297 (Op.8 No. 4) 'L'inverno': I. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Le quattro stagioni (The Four Seasons), Op. 8 - Concerto No. 2 in G Minor, RV 315, ""L'estate"" (Summer): I. Allegro non molto - Allegro ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"Concerto No.2 Summer, Adagio ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
"The Four Seasons, Concerto No. 3 in F Major, RV 293, Op. 8 No. 3 ""Autumn"": II. Adagio molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"Le quattro stagioni, Violin Concerto No. 2 in G Minor, RV 315 ""L'estate"": I. Allegro non molto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
"The Four Seasons, Concerto No. 4 in F Minor, Op. 8, RV 297 Winter: II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"The Four Seasons, Concerto No. 1 in E Major, RV 269, Op. 8, No. 1 ""Spring"": II. Largo ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"‘Le quattro stagioni’ (‘The Four Seasons’): Concerto, Op. 8 No. 4, RV 297 ‘L’inverno’ in F minor (‘Winter’): III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"Concerto No. 3 in F major, Op. 8, RV 293, "" Vivaldi L'autunno"" (Autumn) I. Allegro ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro"
"Violin Concerto in E major, RV 269 'La primavera' (""Spring"") ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Concerto No. 1 in E (La primavera - Spring), RV 269 (Op. 8, No. 1): III. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Concerto No. 1 in E Major, RV 269, Op. 8, No. 1 ""Spring"" (Arr. H. Oeler for Violin and Accordion) ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
